Codice;Nome pozzo;Anno;Scopo;Esito;Prof;Tipo titolo;Nome titolo ;Operatore;Provincia/ Zona;Terra/ Mare;Latitudine;Longitudine;Profilo;Disp;Pdf
7273;COTIGNOLA C 001 DIR;2012;T;GA;1021;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°22'13,36'';00°31'57,73'' W;0;No;No
7274;COTIGNOLA C 002 DIR;2012;T;GA;1057;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°22'13,40'';00°31'57,82'' E;0;No;No
7275;COTIGNOLA C 003 DIR;2012;T;GA;1093;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°22'13,44'';00°31'57,92'' W;0;No;No
7276;COTIGNOLA C 004 DIR;2012;T;GA;1131;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°22'13,49'';00°31'58,01'' W;0;No;No
7277;COTIGNOLA C 005 DIR;2012;T;GA;1041;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°22'13,49'';00°31'58,01'' W;0;No;No
7278;COTIGNOLA C 006 DIR;2012;T;GA;1042;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°22'13,57'';00°31'58,21'' W;0;No;No
7259;DARIA 005 DIR A;2012;S;GA;1906;M;A.C 13.AS;ENI;ZA;M;44°03'28,46'';13°15'54,94'';0;No;No
7265;GALLARE 006 DIR;2012;E;NP;2000;R;CORTE DEI SIGNORI;ALEANNA RESOURCES;FE;T;44°45'12,00'';00°23'44,40'' W;0;No;No
7266;GALLARE 006 DIR A;2012;E;NP;2000;R;CORTE DEI SIGNORI;ALEANNA RESOURCES;FE;T;44°45'12,01'';00°23'43,93'' W;0;No;No
7268;GORGOGLIONE 002;2012;S;OL;5838;M;GORGOGLIONE;TOTAL E&P ITALIA;MT;T;40°24'31,52'';03°39'40,16'' E;0;No;No
7269;LA TOSCA 001 DIR;2012;E;NP;2258;R;LONGASTRINO;NORTHERN PETROLEUM LIMITED;RA;T;44°33'28,12'';12°00'51,86'' E;3934;Sì;No
7267;LUNA 041 DIR A;2012;S;GA;1781;M;D.C 1.AG;IONICA GAS;ZD;M;39°03'41,01'';17°10'21,96'';0;No;No
7223;MEDOLA 015;2012;S;GA;675;M;VETTA;SIAM;MO;T;44°18'29,00'';01°50'20,00'' E;3865;Sì;No
7281;MONTE ALPI 001 OR B;2012;S;OL;3324;M;VAL D'AGRI;ENI;PZ;T;40°20'27,83'';03°29'59,04'' E;0;No;No
7260;NAOMI 002 DIR A;2012;S;GA;2733;M;A.C 33.AG;ENI;ZA;M;44°41'22,38'';12°52'43,88'';3879;Sì;No
7218;PANDORA 002 DIR A;2012;S;GA;2735;M;A.C 33.AG;ENI;ZA;M;44°41'18,06'';12°48'46,33'';3857;Sì;No
7222;PORTO CORSINI MARE OVEST 026 DIR B;2012;S;GA;4290;M;A.C 26.EA;ENI;ZA;M;44°30'24,68'';12°21'41,17'';3861;Sì;No
7279;SETTALA 030 OR;2012;S;GA;1281;S;SETTALA STOCCAGGIO;STOGIT;MI;T;45°26'35,37'';03°02'05,72'' W;3883;Sì;No
7280;SETTALA 031 OR;2012;S;GA;1274;S;SETTALA STOCCAGGIO;STOGIT;MI;T;45°26'31,73'';03°02'05,71'' W;3882;Sì;No
7185;BARBARA E 041 DIR A;2011;S;GA;1493;M;A.C 7.AS;ENI;ZA;M;44°05'22,55'';13°45'58,83'';3866;Sì;No
7186;BARBARA E 042 DIR A;2011;S;GA;1496;M;A.C 7.AS;ENI;ZA;M;44°05'29,76'';13°45'47,91'';3860;Sì;No
7187;BARBARA E 049 DIR A;2011;S;GA;1493;M;A.C 7.AS;ENI;ZA;M;44°05'13,12'';13°46'11,34'';3869;Sì;No
7478;BARBARA E 054 DIR A;2011;S;GA;1307;M;A.C 7.AS;ENI;ZA;M;44°05'09,43'';13°46'04,11'';3873;Sì;No
